person,person_url,universities_category,key,value
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,alma_mater,* Đại học Harvard
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,alma_mater,{{Plainlist|
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,alma_mater,}}
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,awards,DEA Awards (nhiều)
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,awards,{{Plainlist|
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,awards,}}
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,birth_name,Alexander Theodore Shulgin
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,birth_place,Berkeley
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,birth_place,California
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,birth_place,Hoa Kỳ
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,caption,Shulgin (phải) với vợ Ann năm 2011
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,death_place,California
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,death_place,Hoa Kỳ
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,death_place,Lafayette
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,fields,Hóa học
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,fields,sinh học
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,fields,triết học
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,fields,tâm lý học
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,image,Shulgin sasha 2011 hanna jon.jpg
