from,to,type,weight
Rudy Giuliani,Steve Sisolak,same_birth_country,1
Rudy Giuliani,Tate Reeves,same_birth_country,1
Rudy Giuliani,Theodore Schultz,same_birth_country,1
Rudy Giuliani,Thomas A. Hendricks,same_birth_country,1
Rudy Giuliani,Thomas R. Marshall,same_birth_country,1
Rudy Giuliani,Theodore Roosevelt Jr.,same_birth_country,1
Rudy Giuliani,Thaddeus Stevens,same_birth_country,1
Rudy Giuliani,Theodore Roosevelt,same_birth_country,1
Rudy Giuliani,Tim Cook,same_birth_country,1
Rudy Giuliani,Tim Walz,same_birth_country,1
Rudy Giuliani,Tony Evers,same_birth_country,1
Rudy Giuliani,Tim Kaine,same_birth_country,1
Rudy Giuliani,Tom Wolf,same_birth_country,1
Rudy Giuliani,Ulysses S. Grant,same_birth_country,1
Rudy Giuliani,Walter Mondale,same_birth_country,1
Rudy Giuliani,Warren G. Harding,same_birth_country,1
Rudy Giuliani,Taylor Swift,same_birth_country,1
Rudy Giuliani,William Barr,same_birth_country,1
Rudy Giuliani,William A. Wheeler,same_birth_country,1
Rudy Giuliani,William Faulkner,same_birth_country,1
Rudy Giuliani,William P. Rogers,same_birth_country,1
Rudy Giuliani,William R. King,same_birth_country,1
Rudy Giuliani,William Howard Taft,same_birth_country,1
Rudy Giuliani,William Weld,same_birth_country,1
Rudy Giuliani,William McKinley,same_birth_country,1
Ron DeSantis,Sam Nunn,same_birth_country,1
Ron DeSantis,Rutherford B. Hayes,same_birth_country,1
Ron DeSantis,Samuel Dexter,same_birth_country,1
Ron DeSantis,Scott Walker (chính khách),same_birth_country,1
Ron DeSantis,Roy Cooper,same_birth_country,1
Ron DeSantis,Sarah Palin,same_birth_country,1
Ron DeSantis,Sheryl Sandberg,same_birth_country,1
Ron DeSantis,Spencer Cox,same_birth_country,1
Ron DeSantis,Stephen A. Douglas,same_birth_country,1
Ron DeSantis,Ronald Reagan,same_birth_country,1
Ron DeSantis,Steven Mnuchin,same_birth_country,1
Ron DeSantis,Ted Kennedy,same_birth_country,1
Ron DeSantis,Steve Sisolak,same_birth_country,1
Ron DeSantis,Tate Reeves,same_birth_country,1
Ron DeSantis,Theodore Schultz,same_birth_country,1
Ron DeSantis,Thomas A. Hendricks,same_birth_country,1
Ron DeSantis,Thomas R. Marshall,same_birth_country,1
Ron DeSantis,Theodore Roosevelt Jr.,same_birth_country,1
Ron DeSantis,Thaddeus Stevens,same_birth_country,1
Ron DeSantis,Theodore Roosevelt,same_birth_country,1
Ron DeSantis,Tim Cook,same_birth_country,1
Ron DeSantis,Tim Walz,same_birth_country,1
Ron DeSantis,Tony Evers,same_birth_country,1
Ron DeSantis,Tim Kaine,same_birth_country,1
Ron DeSantis,Tom Wolf,same_birth_country,1
Ron DeSantis,Ulysses S. Grant,same_birth_country,1
Ron DeSantis,Walter Mondale,same_birth_country,1
Ron DeSantis,Warren G. Harding,same_birth_country,1
Ron DeSantis,Taylor Swift,same_birth_country,1
Ron DeSantis,William Barr,same_birth_country,1
Ron DeSantis,William A. Wheeler,same_birth_country,1
Ron DeSantis,William Faulkner,same_birth_country,1
Ron DeSantis,William P. Rogers,same_birth_country,1
Ron DeSantis,William R. King,same_birth_country,1
Ron DeSantis,William Howard Taft,same_birth_country,1
Ron DeSantis,William Weld,same_birth_country,1
Ron DeSantis,William McKinley,same_birth_country,1
Sam Nunn,Rutherford B. Hayes,same_birth_country,1
Sam Nunn,Samuel Dexter,same_birth_country,1
Sam Nunn,Scott Walker (chính khách),same_birth_country,1
Sam Nunn,Roy Cooper,same_birth_country,1
Sam Nunn,Sarah Palin,same_birth_country,1
Sam Nunn,Sheryl Sandberg,same_birth_country,1
Sam Nunn,Spencer Cox,same_birth_country,1
Sam Nunn,Stephen A. Douglas,same_birth_country,1
Sam Nunn,Ronald Reagan,same_birth_country,1
Sam Nunn,Steven Mnuchin,same_birth_country,1
Sam Nunn,Ted Kennedy,same_birth_country,1
Sam Nunn,Steve Sisolak,same_birth_country,1
Sam Nunn,Tate Reeves,same_birth_country,1
Sam Nunn,Theodore Schultz,same_birth_country,1
Sam Nunn,Thomas A. Hendricks,same_birth_country,1
Sam Nunn,Thomas R. Marshall,same_birth_country,1
Sam Nunn,Theodore Roosevelt Jr.,same_birth_country,1
Sam Nunn,Thaddeus Stevens,same_birth_country,1
Sam Nunn,Theodore Roosevelt,same_birth_country,1
Sam Nunn,Tim Cook,same_birth_country,1
Sam Nunn,Tim Walz,same_birth_country,1
Sam Nunn,Tony Evers,same_birth_country,1
Sam Nunn,Tim Kaine,same_birth_country,1
Sam Nunn,Tom Wolf,same_birth_country,1
Sam Nunn,Ulysses S. Grant,same_birth_country,1
Sam Nunn,Walter Mondale,same_birth_country,1
Sam Nunn,Warren G. Harding,same_birth_country,1
Sam Nunn,Taylor Swift,same_birth_country,1
Sam Nunn,William Barr,same_birth_country,1
Sam Nunn,William A. Wheeler,same_birth_country,1
Sam Nunn,William Faulkner,same_birth_country,1
Sam Nunn,William P. Rogers,same_birth_country,1
Sam Nunn,William R. King,same_birth_country,1
Sam Nunn,William Howard Taft,same_birth_country,1
Sam Nunn,William Weld,same_birth_country,1
Sam Nunn,William McKinley,same_birth_country,1
Rutherford B. Hayes,Samuel Dexter,same_birth_country,1
Rutherford B. Hayes,Scott Walker (chính khách),same_birth_country,1
Rutherford B. Hayes,Roy Cooper,same_birth_country,1
Rutherford B. Hayes,Sarah Palin,same_birth_country,1
Rutherford B. Hayes,Sheryl Sandberg,same_birth_country,1
Rutherford B. Hayes,Spencer Cox,same_birth_country,1
Rutherford B. Hayes,Stephen A. Douglas,same_birth_country,1
Rutherford B. Hayes,Ronald Reagan,same_birth_country,1
Rutherford B. Hayes,Steven Mnuchin,same_birth_country,1
Rutherford B. Hayes,Ted Kennedy,same_birth_country,1
Rutherford B. Hayes,Steve Sisolak,same_birth_country,1
Rutherford B. Hayes,Tate Reeves,same_birth_country,1
Rutherford B. Hayes,Theodore Schultz,same_birth_country,1
Rutherford B. Hayes,Thomas A. Hendricks,same_birth_country,1
Rutherford B. Hayes,Thomas R. Marshall,same_birth_country,1
Rutherford B. Hayes,Theodore Roosevelt Jr.,same_birth_country,1
Rutherford B. Hayes,Thaddeus Stevens,same_birth_country,1
Rutherford B. Hayes,Theodore Roosevelt,same_birth_country,1
Rutherford B. Hayes,Tim Cook,same_birth_country,1
Rutherford B. Hayes,Tim Walz,same_birth_country,1
Rutherford B. Hayes,Tony Evers,same_birth_country,1
Rutherford B. Hayes,Tim Kaine,same_birth_country,1
Rutherford B. Hayes,Tom Wolf,same_birth_country,1
Rutherford B. Hayes,Ulysses S. Grant,same_birth_country,1
Rutherford B. Hayes,Walter Mondale,same_birth_country,1
Rutherford B. Hayes,Warren G. Harding,same_birth_country,1
Rutherford B. Hayes,Taylor Swift,same_birth_country,1
Rutherford B. Hayes,William Barr,same_birth_country,1
Rutherford B. Hayes,William A. Wheeler,same_birth_country,1
Rutherford B. Hayes,William Faulkner,same_birth_country,1
Rutherford B. Hayes,William P. Rogers,same_birth_country,1
Rutherford B. Hayes,William R. King,same_birth_country,1
Rutherford B. Hayes,William Howard Taft,same_birth_country,1
Rutherford B. Hayes,William Weld,same_birth_country,1
Rutherford B. Hayes,William McKinley,same_birth_country,1
Samuel Dexter,Scott Walker (chính khách),same_birth_country,1
Samuel Dexter,Roy Cooper,same_birth_country,1
Samuel Dexter,Sarah Palin,same_birth_country,1
Samuel Dexter,Sheryl Sandberg,same_birth_country,1
Samuel Dexter,Spencer Cox,same_birth_country,1
Samuel Dexter,Stephen A. Douglas,same_birth_country,1
Samuel Dexter,Ronald Reagan,same_birth_country,1
Samuel Dexter,Steven Mnuchin,same_birth_country,1
Samuel Dexter,Ted Kennedy,same_birth_country,1
Samuel Dexter,Steve Sisolak,same_birth_country,1
Samuel Dexter,Tate Reeves,same_birth_country,1
Samuel Dexter,Theodore Schultz,same_birth_country,1
Samuel Dexter,Thomas A. Hendricks,same_birth_country,1
Samuel Dexter,Thomas R. Marshall,same_birth_country,1
Samuel Dexter,Theodore Roosevelt Jr.,same_birth_country,1
Samuel Dexter,Thaddeus Stevens,same_birth_country,1
Samuel Dexter,Theodore Roosevelt,same_birth_country,1
Samuel Dexter,Tim Cook,same_birth_country,1
Samuel Dexter,Tim Walz,same_birth_country,1
Samuel Dexter,Tony Evers,same_birth_country,1
Samuel Dexter,Tim Kaine,same_birth_country,1
Samuel Dexter,Tom Wolf,same_birth_country,1
Samuel Dexter,Ulysses S. Grant,same_birth_country,1
Samuel Dexter,Walter Mondale,same_birth_country,1
Samuel Dexter,Warren G. Harding,same_birth_country,1
Samuel Dexter,Taylor Swift,same_birth_country,1
Samuel Dexter,William Barr,same_birth_country,1
Samuel Dexter,William A. Wheeler,same_birth_country,1
Samuel Dexter,William Faulkner,same_birth_country,1
Samuel Dexter,William P. Rogers,same_birth_country,1
Samuel Dexter,William R. King,same_birth_country,1
Samuel Dexter,William Howard Taft,same_birth_country,1
Samuel Dexter,William Weld,same_birth_country,1
Samuel Dexter,William McKinley,same_birth_country,1
Scott Walker (chính khách),Roy Cooper,same_birth_country,1
Scott Walker (chính khách),Sarah Palin,same_birth_country,1
Scott Walker (chính khách),Sheryl Sandberg,same_birth_country,1
Scott Walker (chính khách),Spencer Cox,same_birth_country,1
Scott Walker (chính khách),Stephen A. Douglas,same_birth_country,1
Scott Walker (chính khách),Ronald Reagan,same_birth_country,1
Scott Walker (chính khách),Steven Mnuchin,same_birth_country,1
Scott Walker (chính khách),Ted Kennedy,same_birth_country,1
Scott Walker (chính khách),Steve Sisolak,same_birth_country,1
Scott Walker (chính khách),Tate Reeves,same_birth_country,1
Scott Walker (chính khách),Theodore Schultz,same_birth_country,1
Scott Walker (chính khách),Thomas A. Hendricks,same_birth_country,1
Scott Walker (chính khách),Thomas R. Marshall,same_birth_country,1
Scott Walker (chính khách),Theodore Roosevelt Jr.,same_birth_country,1
Scott Walker (chính khách),Thaddeus Stevens,same_birth_country,1
Scott Walker (chính khách),Theodore Roosevelt,same_birth_country,1
Scott Walker (chính khách),Tim Cook,same_birth_country,1
Scott Walker (chính khách),Tim Walz,same_birth_country,1
Scott Walker (chính khách),Tony Evers,same_birth_country,1
Scott Walker (chính khách),Tim Kaine,same_birth_country,1
Scott Walker (chính khách),Tom Wolf,same_birth_country,1
Scott Walker (chính khách),Ulysses S. Grant,same_birth_country,1
Scott Walker (chính khách),Walter Mondale,same_birth_country,1
Scott Walker (chính khách),Warren G. Harding,same_birth_country,1
Scott Walker (chính khách),Taylor Swift,same_birth_country,1
Scott Walker (chính khách),William Barr,same_birth_country,1
Scott Walker (chính khách),William A. Wheeler,same_birth_country,1
Scott Walker (chính khách),William Faulkner,same_birth_country,1
Scott Walker (chính khách),William P. Rogers,same_birth_country,1
Scott Walker (chính khách),William R. King,same_birth_country,1
Scott Walker (chính khách),William Howard Taft,same_birth_country,1
Scott Walker (chính khách),William Weld,same_birth_country,1
Scott Walker (chính khách),William McKinley,same_birth_country,1
Roy Cooper,Sarah Palin,same_birth_country,1
Roy Cooper,Sheryl Sandberg,same_birth_country,1
Roy Cooper,Spencer Cox,same_birth_country,1
Roy Cooper,Stephen A. Douglas,same_birth_country,1
Roy Cooper,Ronald Reagan,same_birth_country,1
Roy Cooper,Steven Mnuchin,same_birth_country,1
Roy Cooper,Ted Kennedy,same_birth_country,1
Roy Cooper,Steve Sisolak,same_birth_country,1
Roy Cooper,Tate Reeves,same_birth_country,1
Roy Cooper,Theodore Schultz,same_birth_country,1
Roy Cooper,Thomas A. Hendricks,same_birth_country,1
Roy Cooper,Thomas R. Marshall,same_birth_country,1
Roy Cooper,Theodore Roosevelt Jr.,same_birth_country,1
Roy Cooper,Thaddeus Stevens,same_birth_country,1
Roy Cooper,Theodore Roosevelt,same_birth_country,1
Roy Cooper,Tim Cook,same_birth_country,1
Roy Cooper,Tim Walz,same_birth_country,1
Roy Cooper,Tony Evers,same_birth_country,1
Roy Cooper,Tim Kaine,same_birth_country,1
Roy Cooper,Tom Wolf,same_birth_country,1
Roy Cooper,Ulysses S. Grant,same_birth_country,1
Roy Cooper,Walter Mondale,same_birth_country,1
Roy Cooper,Warren G. Harding,same_birth_country,1
Roy Cooper,Taylor Swift,same_birth_country,1
Roy Cooper,William Barr,same_birth_country,1
Roy Cooper,William A. Wheeler,same_birth_country,1
Roy Cooper,William Faulkner,same_birth_country,1
Roy Cooper,William P. Rogers,same_birth_country,1
Roy Cooper,William R. King,same_birth_country,1
Roy Cooper,William Howard Taft,same_birth_country,1
Roy Cooper,William Weld,same_birth_country,1
Roy Cooper,William McKinley,same_birth_country,1
Sarah Palin,Sheryl Sandberg,same_birth_country,1
Sarah Palin,Spencer Cox,same_birth_country,1
Sarah Palin,Stephen A. Douglas,same_birth_country,1
Sarah Palin,Ronald Reagan,same_birth_country,1
Sarah Palin,Steven Mnuchin,same_birth_country,1
Sarah Palin,Ted Kennedy,same_birth_country,1
Sarah Palin,Steve Sisolak,same_birth_country,1
Sarah Palin,Tate Reeves,same_birth_country,1
Sarah Palin,Theodore Schultz,same_birth_country,1
Sarah Palin,Thomas A. Hendricks,same_birth_country,1
Sarah Palin,Thomas R. Marshall,same_birth_country,1
Sarah Palin,Theodore Roosevelt Jr.,same_birth_country,1
Sarah Palin,Thaddeus Stevens,same_birth_country,1
Sarah Palin,Theodore Roosevelt,same_birth_country,1
Sarah Palin,Tim Cook,same_birth_country,1
Sarah Palin,Tim Walz,same_birth_country,1
Sarah Palin,Tony Evers,same_birth_country,1
Sarah Palin,Tim Kaine,same_birth_country,1
Sarah Palin,Tom Wolf,same_birth_country,1
Sarah Palin,Ulysses S. Grant,same_birth_country,1
Sarah Palin,Walter Mondale,same_birth_country,1
Sarah Palin,Warren G. Harding,same_birth_country,1
Sarah Palin,Taylor Swift,same_birth_country,1
Sarah Palin,William Barr,same_birth_country,1
Sarah Palin,William A. Wheeler,same_birth_country,1
Sarah Palin,William Faulkner,same_birth_country,1
Sarah Palin,William P. Rogers,same_birth_country,1
Sarah Palin,William R. King,same_birth_country,1
Sarah Palin,William Howard Taft,same_birth_country,1
Sarah Palin,William Weld,same_birth_country,1
Sarah Palin,William McKinley,same_birth_country,1
Sheryl Sandberg,Spencer Cox,same_birth_country,1
Sheryl Sandberg,Stephen A. Douglas,same_birth_country,1
Sheryl Sandberg,Ronald Reagan,same_birth_country,1
Sheryl Sandberg,Steven Mnuchin,same_birth_country,1
Sheryl Sandberg,Ted Kennedy,same_birth_country,1
Sheryl Sandberg,Steve Sisolak,same_birth_country,1
Sheryl Sandberg,Tate Reeves,same_birth_country,1
Sheryl Sandberg,Theodore Schultz,same_birth_country,1
Sheryl Sandberg,Thomas A. Hendricks,same_birth_country,1
Sheryl Sandberg,Thomas R. Marshall,same_birth_country,1
Sheryl Sandberg,Theodore Roosevelt Jr.,same_birth_country,1
Sheryl Sandberg,Thaddeus Stevens,same_birth_country,1
Sheryl Sandberg,Theodore Roosevelt,same_birth_country,1
Sheryl Sandberg,Tim Cook,same_birth_country,1
Sheryl Sandberg,Tim Walz,same_birth_country,1
Sheryl Sandberg,Tony Evers,same_birth_country,1
Sheryl Sandberg,Tim Kaine,same_birth_country,1
Sheryl Sandberg,Tom Wolf,same_birth_country,1
Sheryl Sandberg,Ulysses S. Grant,same_birth_country,1
Sheryl Sandberg,Walter Mondale,same_birth_country,1
Sheryl Sandberg,Warren G. Harding,same_birth_country,1
Sheryl Sandberg,Taylor Swift,same_birth_country,1
Sheryl Sandberg,William Barr,same_birth_country,1
Sheryl Sandberg,William A. Wheeler,same_birth_country,1
Sheryl Sandberg,William Faulkner,same_birth_country,1
Sheryl Sandberg,William P. Rogers,same_birth_country,1
Sheryl Sandberg,William R. King,same_birth_country,1
Sheryl Sandberg,William Howard Taft,same_birth_country,1
Sheryl Sandberg,William Weld,same_birth_country,1
Sheryl Sandberg,William McKinley,same_birth_country,1
Spencer Cox,Stephen A. Douglas,same_birth_country,1
Spencer Cox,Ronald Reagan,same_birth_country,1
Spencer Cox,Steven Mnuchin,same_birth_country,1
Spencer Cox,Ted Kennedy,same_birth_country,1
Spencer Cox,Steve Sisolak,same_birth_country,1
Spencer Cox,Tate Reeves,same_birth_country,1
Spencer Cox,Theodore Schultz,same_birth_country,1
Spencer Cox,Thomas A. Hendricks,same_birth_country,1
Spencer Cox,Thomas R. Marshall,same_birth_country,1
Spencer Cox,Theodore Roosevelt Jr.,same_birth_country,1
Spencer Cox,Thaddeus Stevens,same_birth_country,1
Spencer Cox,Theodore Roosevelt,same_birth_country,1
Spencer Cox,Tim Cook,same_birth_country,1
Spencer Cox,Tim Walz,same_birth_country,1
Spencer Cox,Tony Evers,same_birth_country,1
Spencer Cox,Tim Kaine,same_birth_country,1
Spencer Cox,Tom Wolf,same_birth_country,1
Spencer Cox,Ulysses S. Grant,same_birth_country,1
Spencer Cox,Walter Mondale,same_birth_country,1
Spencer Cox,Warren G. Harding,same_birth_country,1
Spencer Cox,Taylor Swift,same_birth_country,1
Spencer Cox,William Barr,same_birth_country,1
Spencer Cox,William A. Wheeler,same_birth_country,1
Spencer Cox,William Faulkner,same_birth_country,1
Spencer Cox,William P. Rogers,same_birth_country,1
Spencer Cox,William R. King,same_birth_country,1
Spencer Cox,William Howard Taft,same_birth_country,1
Spencer Cox,William Weld,same_birth_country,1
Spencer Cox,William McKinley,same_birth_country,1
Stephen A. Douglas,Ronald Reagan,same_birth_country,1
Stephen A. Douglas,Steven Mnuchin,same_birth_country,1
Stephen A. Douglas,Ted Kennedy,same_birth_country,1
Stephen A. Douglas,Steve Sisolak,same_birth_country,1
Stephen A. Douglas,Tate Reeves,same_birth_country,1
Stephen A. Douglas,Theodore Schultz,same_birth_country,1
Stephen A. Douglas,Thomas A. Hendricks,same_birth_country,1
Stephen A. Douglas,Thomas R. Marshall,same_birth_country,1
Stephen A. Douglas,Theodore Roosevelt Jr.,same_birth_country,1
Stephen A. Douglas,Thaddeus Stevens,same_birth_country,1
Stephen A. Douglas,Theodore Roosevelt,same_birth_country,1
Stephen A. Douglas,Tim Cook,same_birth_country,1
Stephen A. Douglas,Tim Walz,same_birth_country,1
Stephen A. Douglas,Tony Evers,same_birth_country,1
Stephen A. Douglas,Tim Kaine,same_birth_country,1
Stephen A. Douglas,Tom Wolf,same_birth_country,1
Stephen A. Douglas,Ulysses S. Grant,same_birth_country,1
Stephen A. Douglas,Walter Mondale,same_birth_country,1
Stephen A. Douglas,Warren G. Harding,same_birth_country,1
Stephen A. Douglas,Taylor Swift,same_birth_country,1
Stephen A. Douglas,William Barr,same_birth_country,1
Stephen A. Douglas,William A. Wheeler,same_birth_country,1
Stephen A. Douglas,William Faulkner,same_birth_country,1
Stephen A. Douglas,William P. Rogers,same_birth_country,1
Stephen A. Douglas,William R. King,same_birth_country,1
Stephen A. Douglas,William Howard Taft,same_birth_country,1
Stephen A. Douglas,William Weld,same_birth_country,1
Stephen A. Douglas,William McKinley,same_birth_country,1
Ronald Reagan,Steven Mnuchin,same_birth_country,1
Ronald Reagan,Ted Kennedy,same_birth_country,1
Ronald Reagan,Steve Sisolak,same_birth_country,1
Ronald Reagan,Tate Reeves,same_birth_country,1
Ronald Reagan,Theodore Schultz,same_birth_country,1
Ronald Reagan,Thomas A. Hendricks,same_birth_country,1
Ronald Reagan,Thomas R. Marshall,same_birth_country,1
Ronald Reagan,Theodore Roosevelt Jr.,same_birth_country,1
Ronald Reagan,Thaddeus Stevens,same_birth_country,1
Ronald Reagan,Theodore Roosevelt,same_birth_country,1
Ronald Reagan,Tim Cook,same_birth_country,1
Ronald Reagan,Tim Walz,same_birth_country,1
Ronald Reagan,Tony Evers,same_birth_country,1
Ronald Reagan,Tim Kaine,same_birth_country,1
Ronald Reagan,Tom Wolf,same_birth_country,1
Ronald Reagan,Ulysses S. Grant,same_birth_country,1
Ronald Reagan,Walter Mondale,same_birth_country,1
Ronald Reagan,Warren G. Harding,same_birth_country,1
Ronald Reagan,Taylor Swift,same_birth_country,1
Ronald Reagan,William Barr,same_birth_country,1
Ronald Reagan,William A. Wheeler,same_birth_country,1
Ronald Reagan,William Faulkner,same_birth_country,1
Ronald Reagan,William P. Rogers,same_birth_country,1
Ronald Reagan,William R. King,same_birth_country,1
Ronald Reagan,William Howard Taft,same_birth_country,1
Ronald Reagan,William Weld,same_birth_country,1
Ronald Reagan,William McKinley,same_birth_country,1
Steven Mnuchin,Ted Kennedy,same_birth_country,1
Steven Mnuchin,Steve Sisolak,same_birth_country,1
Steven Mnuchin,Tate Reeves,same_birth_country,1
Steven Mnuchin,Theodore Schultz,same_birth_country,1
Steven Mnuchin,Thomas A. Hendricks,same_birth_country,1
Steven Mnuchin,Thomas R. Marshall,same_birth_country,1
Steven Mnuchin,Theodore Roosevelt Jr.,same_birth_country,1
Steven Mnuchin,Thaddeus Stevens,same_birth_country,1
Steven Mnuchin,Theodore Roosevelt,same_birth_country,1
Steven Mnuchin,Tim Cook,same_birth_country,1
Steven Mnuchin,Tim Walz,same_birth_country,1
Steven Mnuchin,Tony Evers,same_birth_country,1
Steven Mnuchin,Tim Kaine,same_birth_country,1
Steven Mnuchin,Tom Wolf,same_birth_country,1
Steven Mnuchin,Ulysses S. Grant,same_birth_country,1
Steven Mnuchin,Walter Mondale,same_birth_country,1
Steven Mnuchin,Warren G. Harding,same_birth_country,1
Steven Mnuchin,Taylor Swift,same_birth_country,1
Steven Mnuchin,William Barr,same_birth_country,1
Steven Mnuchin,William A. Wheeler,same_birth_country,1
Steven Mnuchin,William Faulkner,same_birth_country,1
Steven Mnuchin,William P. Rogers,same_birth_country,1
Steven Mnuchin,William R. King,same_birth_country,1
Steven Mnuchin,William Howard Taft,same_birth_country,1
Steven Mnuchin,William Weld,same_birth_country,1
Steven Mnuchin,William McKinley,same_birth_country,1
Ted Kennedy,Steve Sisolak,same_birth_country,1
Ted Kennedy,Tate Reeves,same_birth_country,1
Ted Kennedy,Theodore Schultz,same_birth_country,1
Ted Kennedy,Thomas A. Hendricks,same_birth_country,1
Ted Kennedy,Thomas R. Marshall,same_birth_country,1
Ted Kennedy,Theodore Roosevelt Jr.,same_birth_country,1
Ted Kennedy,Thaddeus Stevens,same_birth_country,1
Ted Kennedy,Theodore Roosevelt,same_birth_country,1
Ted Kennedy,Tim Cook,same_birth_country,1
Ted Kennedy,Tim Walz,same_birth_country,1
Ted Kennedy,Tony Evers,same_birth_country,1
Ted Kennedy,Tim Kaine,same_birth_country,1
Ted Kennedy,Tom Wolf,same_birth_country,1
Ted Kennedy,Ulysses S. Grant,same_birth_country,1
Ted Kennedy,Walter Mondale,same_birth_country,1
Ted Kennedy,Warren G. Harding,same_birth_country,1
Ted Kennedy,Taylor Swift,same_birth_country,1
Ted Kennedy,William Barr,same_birth_country,1
Ted Kennedy,William A. Wheeler,same_birth_country,1
Ted Kennedy,William Faulkner,same_birth_country,1
Ted Kennedy,William P. Rogers,same_birth_country,1
Ted Kennedy,William R. King,same_birth_country,1
Ted Kennedy,William Howard Taft,same_birth_country,1
Ted Kennedy,William Weld,same_birth_country,1
Ted Kennedy,William McKinley,same_birth_country,1
Steve Sisolak,Tate Reeves,same_birth_country,1
Steve Sisolak,Theodore Schultz,same_birth_country,1
Steve Sisolak,Thomas A. Hendricks,same_birth_country,1
Steve Sisolak,Thomas R. Marshall,same_birth_country,1
Steve Sisolak,Theodore Roosevelt Jr.,same_birth_country,1
Steve Sisolak,Thaddeus Stevens,same_birth_country,1
Steve Sisolak,Theodore Roosevelt,same_birth_country,1
Steve Sisolak,Tim Cook,same_birth_country,1
Steve Sisolak,Tim Walz,same_birth_country,1
Steve Sisolak,Tony Evers,same_birth_country,1
Steve Sisolak,Tim Kaine,same_birth_country,1
Steve Sisolak,Tom Wolf,same_birth_country,1
Steve Sisolak,Ulysses S. Grant,same_birth_country,1
Steve Sisolak,Walter Mondale,same_birth_country,1
Steve Sisolak,Warren G. Harding,same_birth_country,1
Steve Sisolak,Taylor Swift,same_birth_country,1
Steve Sisolak,William Barr,same_birth_country,1
Steve Sisolak,William A. Wheeler,same_birth_country,1
Steve Sisolak,William Faulkner,same_birth_country,1
Steve Sisolak,William P. Rogers,same_birth_country,1
Steve Sisolak,William R. King,same_birth_country,1
Steve Sisolak,William Howard Taft,same_birth_country,1
Steve Sisolak,William Weld,same_birth_country,1
Steve Sisolak,William McKinley,same_birth_country,1
Tate Reeves,Theodore Schultz,same_birth_country,1
Tate Reeves,Thomas A. Hendricks,same_birth_country,1
Tate Reeves,Thomas R. Marshall,same_birth_country,1
Tate Reeves,Theodore Roosevelt Jr.,same_birth_country,1
Tate Reeves,Thaddeus Stevens,same_birth_country,1
Tate Reeves,Theodore Roosevelt,same_birth_country,1
Tate Reeves,Tim Cook,same_birth_country,1
Tate Reeves,Tim Walz,same_birth_country,1
Tate Reeves,Tony Evers,same_birth_country,1
Tate Reeves,Tim Kaine,same_birth_country,1
Tate Reeves,Tom Wolf,same_birth_country,1
Tate Reeves,Ulysses S. Grant,same_birth_country,1
Tate Reeves,Walter Mondale,same_birth_country,1
Tate Reeves,Warren G. Harding,same_birth_country,1
Tate Reeves,Taylor Swift,same_birth_country,1
Tate Reeves,William Barr,same_birth_country,1
Tate Reeves,William A. Wheeler,same_birth_country,1
Tate Reeves,William Faulkner,same_birth_country,1
Tate Reeves,William P. Rogers,same_birth_country,1
Tate Reeves,William R. King,same_birth_country,1
Tate Reeves,William Howard Taft,same_birth_country,1
Tate Reeves,William Weld,same_birth_country,1
Tate Reeves,William McKinley,same_birth_country,1
Theodore Schultz,Thomas A. Hendricks,same_birth_country,1
Theodore Schultz,Thomas R. Marshall,same_birth_country,1
Theodore Schultz,Theodore Roosevelt Jr.,same_birth_country,1
Theodore Schultz,Thaddeus Stevens,same_birth_country,1
Theodore Schultz,Theodore Roosevelt,same_birth_country,1
Theodore Schultz,Tim Cook,same_birth_country,1
Theodore Schultz,Tim Walz,same_birth_country,1
Theodore Schultz,Tony Evers,same_birth_country,1
Theodore Schultz,Tim Kaine,same_birth_country,1
Theodore Schultz,Tom Wolf,same_birth_country,1
Theodore Schultz,Ulysses S. Grant,same_birth_country,1
Theodore Schultz,Walter Mondale,same_birth_country,1
Theodore Schultz,Warren G. Harding,same_birth_country,1
Theodore Schultz,Taylor Swift,same_birth_country,1
Theodore Schultz,William Barr,same_birth_country,1
Theodore Schultz,William A. Wheeler,same_birth_country,1
Theodore Schultz,William Faulkner,same_birth_country,1
Theodore Schultz,William P. Rogers,same_birth_country,1
Theodore Schultz,William R. King,same_birth_country,1
Theodore Schultz,William Howard Taft,same_birth_country,1
Theodore Schultz,William Weld,same_birth_country,1
Theodore Schultz,William McKinley,same_birth_country,1
Thomas A. Hendricks,Thomas R. Marshall,same_birth_country,1
Thomas A. Hendricks,Theodore Roosevelt Jr.,same_birth_country,1
Thomas A. Hendricks,Thaddeus Stevens,same_birth_country,1
Thomas A. Hendricks,Theodore Roosevelt,same_birth_country,1
Thomas A. Hendricks,Tim Cook,same_birth_country,1
Thomas A. Hendricks,Tim Walz,same_birth_country,1
Thomas A. Hendricks,Tony Evers,same_birth_country,1
Thomas A. Hendricks,Tim Kaine,same_birth_country,1
Thomas A. Hendricks,Tom Wolf,same_birth_country,1
Thomas A. Hendricks,Ulysses S. Grant,same_birth_country,1
Thomas A. Hendricks,Walter Mondale,same_birth_country,1
Thomas A. Hendricks,Warren G. Harding,same_birth_country,1
Thomas A. Hendricks,Taylor Swift,same_birth_country,1
Thomas A. Hendricks,William Barr,same_birth_country,1
Thomas A. Hendricks,William A. Wheeler,same_birth_country,1
Thomas A. Hendricks,William Faulkner,same_birth_country,1
Thomas A. Hendricks,William P. Rogers,same_birth_country,1
