from,to,type,weight
Anwar Al-Sadad,Đại học Alexandria,alumni_of,1
Ruhollah Khomeini,Viện thần học Qom,alumni_of,1
Corazon Aquino,Đại học Mount Saint Vincent,alumni_of,1
Corazon Aquino,Đại học Viễn Đông,alumni_of,1
Christian Wulff,Đại học Osnabrück,alumni_of,1
Joachim Gauck,Đại học Rostock,alumni_of,1
Philipp Rösler,Đại học Y khoa Hannover,alumni_of,1
Frank-Walter Steinmeier,Đại học Giessen,alumni_of,1
Lutz Graf Schwerin von Krosigk,University of Halle,alumni_of,1
Lutz Graf Schwerin von Krosigk,University of Lausanne,alumni_of,1
Lutz Graf Schwerin von Krosigk,Đại học Oxford,alumni_of,1
Ludwig Erhard,Đại học Nuremberg,alumni_of,1
Ludwig Erhard,Đại học Frankfurt am Main,alumni_of,1
Alexis Tsipras,Đại học Công nghệ Quốc gia Athens,alumni_of,1
Vincent Auriol,Toulouse 1 University Capitole,alumni_of,1
René Coty,Đại học Caen Normandy,alumni_of,1
Karl Nehammer,Đại học Danube Krems,alumni_of,1
Andrej Babiš,Đại học Kinh tế ở Bratislava,alumni_of,1
Mette Frederiksen,Đại học Aalborg,alumni_of,1
Sanna Marin,Đại học Tampere,alumni_of,1
Micheál Martin,University College Cork,alumni_of,1
Gitanas Nausėda,Đại học Vilnius,alumni_of,1
Xavier Bettel,Đại học Thessaloniki,alumni_of,1
Xavier Bettel,Đại học Nancy 2,alumni_of,1
Linda McMahon,Đại học Đông Carolina (Cử nhân Nghệ thuật),alumni_of,1
Kristi Noem,Đại học Bang South Dakota,alumni_of,1
Rutherford B. Hayes,Đại học Kenyon,alumni_of,1
Rutherford B. Hayes,Đại học Harvard,alumni_of,1
Felipe Calderón,Học viện Công nghệ Tự trị Mexico,alumni_of,1
Felipe Calderón,Trường Chính phủ John F. Kennedy,alumni_of,1
T. S. Eliot,Đại học Harvard,alumni_of,1
Dan Brown,Amherst College,alumni_of,1
William Faulkner,Đại học Mississippi,alumni_of,1
Theresa May,Đại học Oxford,alumni_of,1
Harold Wilson,Đại học Oxford,alumni_of,1
Harold Macmillan,Đại học Oxford,alumni_of,1
John Gorton,Trường Ngữ pháp Giáo hội Anh Sydney,alumni_of,1
John Gorton,Trường Ngữ pháp Geelong,alumni_of,1
John Gorton,Đại học Oxford,alumni_of,1
Malcolm Fraser,Trường Tudor House,alumni_of,1
Malcolm Fraser,Trường Ngữ pháp Geelong,alumni_of,1
Malcolm Fraser,Trường Ngữ pháp Melbourne,alumni_of,1
Malcolm Fraser,Đại học Oxford,alumni_of,1
Manmohan Singh,"Đại học Panjab, Chandigarh",alumni_of,1
Manmohan Singh,Đại học Cambridge,alumni_of,1
Manmohan Singh,Đại học Oxford,alumni_of,1
Liaquat Ali Khan,Đại học Hồi giáo Aligarh,alumni_of,1
Liaquat Ali Khan,Đại học Oxford,alumni_of,1
Evelyn Waugh,Lancing College,alumni_of,1
Evelyn Waugh,Đại học Oxford,alumni_of,1
Graham Greene,Đại học Oxford,alumni_of,1
Oliver Cromwell,Đại học Cambridge,alumni_of,1
Robert Walpole,Đại học Cambridge,alumni_of,1
Deval Patrick,Đại học Harvard,alumni_of,1
Ted Kennedy,Đại học Harvard,alumni_of,1
Ted Kennedy,University of Virginia,alumni_of,1
Elbridge Gerry,Đại học Harvard,alumni_of,1
John Volpe,Viện Công nghệ Wentworth,alumni_of,1
Rick Perry,Texas A&M University,alumni_of,1
William Weld,Đại học Harvard,alumni_of,1
William Weld,Đại học Oxford,alumni_of,1
Laura Bush,Đại học Texas tại Austin,alumni_of,1
Charlie Baker,Đại học Harvard,alumni_of,1
Hamid Karzai,Đại học Himachal,alumni_of,1
Jeb Bush,Đại học Texas tại Austin,alumni_of,1
Colin Powell,Đại học George Washington,alumni_of,1
Kofi Annan,Đại học Kwame Nkrumah,alumni_of,1
Kofi Annan,Graduate Institute of International and Development Studies,alumni_of,1
Donald Rumsfeld,Đại học Princeton,alumni_of,1
Donald Rumsfeld,Đại học Georgetown,alumni_of,1
George Tenet,Georgetown University,alumni_of,1
George Tenet,Đại học Columbia,alumni_of,1
John R. Bolton,Đại học Yale,alumni_of,1
John Roberts,Đại học Harvard,alumni_of,1
John Howard,Đại học Sydney,alumni_of,1
Muntadhar al-Zaidi,Đại học Baghdad,alumni_of,1
Franklin Pierce,Trường Cao đẳng Bowdoin,alumni_of,1
Franklin Pierce,Trường Luật Northampton,alumni_of,1
Warren G. Harding,Đại học Trung ương Ohio,alumni_of,1
James A. Garfield,Trường Cao đẳng Hiram,alumni_of,1
James A. Garfield,Trường Cao đẳng Williams,alumni_of,1
Chester A. Arthur,Đại học Liên bang,alumni_of,1
Chester A. Arthur,Trường Luật Quốc gia và Tiểu bang,alumni_of,1
Lyndon B. Johnson,Đại học Quốc gia Texas,alumni_of,1
John Boehner,Đại học Xavier,alumni_of,1
Sam Brownback,Kansas State University,alumni_of,1
Sarah Palin,Đại học Idaho,alumni_of,1
Jonathan Dayton,Đại học Princeton,alumni_of,1
William McKinley,Đại học Allegheny,alumni_of,1
William McKinley,Đại học Mount Union,alumni_of,1
William McKinley,Trường Luật Albany,alumni_of,1
Mike Pence,Hanover College,alumni_of,1
Mike Pence,Indiana University Robert H. McKinney School of Law,alumni_of,1
Frederick Muhlenberg,Đại học Halle-Wittenberg,alumni_of,1
Mike Johnson,Đại học Tiểu bang Louisiana,alumni_of,1
John Nance Garner,Đại học Vanderbilt,alumni_of,1
Kevin McCarthy,Đại học Bang California tại Bakersfield,alumni_of,1
Greg Abbott,Đại học Texas tại Austin,alumni_of,1
Lady Bird Johnson,St. Mary's Episcopal College for Women,alumni_of,1
Lady Bird Johnson,University of Texas at Austin,alumni_of,1
Lucy Webb Hayes,Đại học Wesley (Ohio),alumni_of,1
Jill Biden,Đại học Delaware,alumni_of,1
Jill Biden,Đại học Villanova,alumni_of,1
Philip Noel-Baker,Haverford College,alumni_of,1
Philip Noel-Baker,Đại học Cambridge,alumni_of,1
Kim Dae-jung,Trường Trung học Tài chính Mokpo,alumni_of,1
Boutros Boutros-Ghali,Đại học Cairo,alumni_of,1
Boutros Boutros-Ghali,Đại học Pantheon-Sorbonne,alumni_of,1
J. William Fulbright,Đại học Arkansas,alumni_of,1
J. William Fulbright,Đại học Oxford,alumni_of,1
J. William Fulbright,Đại học George Washington,alumni_of,1
Janet Reno,Đại học Cornell,alumni_of,1
Janet Reno,Đại học Harvard,alumni_of,1
Sam Nunn,Viện Công nghệ Georgia,alumni_of,1
Ruth Bader Ginsburg,Cornell University,alumni_of,1
Ruth Bader Ginsburg,Đại học Harvard,alumni_of,1
Ruth Bader Ginsburg,Đại học Columbia,alumni_of,1
Andrew Cuomo,Đại học Fordham,alumni_of,1
Andrew Cuomo,Trường luật Albany,alumni_of,1
Giang Trạch Dân,Trung học Dương Châu Đại học Trung ương Quốc lập Đại học Giao thông,alumni_of,1
Bob Woodward,Đại học Yale,alumni_of,1
Mike Beebe,Đại học Arkansas,alumni_of,1
Asa Hutchinson,Đại học Arkansas,alumni_of,1
George McGovern,Dakota Wesleyan University,alumni_of,1
George McGovern,Northwestern University,alumni_of,1
Walter Mondale,Đại học Minnesota,alumni_of,1
Tim Kaine,Đại học Columbia,alumni_of,1
Tim Kaine,Đại học Harvard,alumni_of,1
Hosni Mubarak,Học viện Quân sự Frunze,alumni_of,1
Bernie Sanders,University of Chicago,alumni_of,1
William H. Seward,Union College,alumni_of,1
Dean Rusk,Đại học Oxford,alumni_of,1
William P. Rogers,Đại học Colgate,alumni_of,1
John Jay,Đại học Columbia,alumni_of,1
Rex Tillerson,Đại học Texas tại Austin,alumni_of,1
Henry L. Stimson,Đại học Yale,alumni_of,1
Henry L. Stimson,Đại học Harvard,alumni_of,1
Ed Rendell,Đại học Pennsylvania,alumni_of,1
Richard Mentor Johnson,Transylvania University,alumni_of,1
Antony Blinken,Đại học Harvard,alumni_of,1
Antony Blinken,Đại học Columbia,alumni_of,1
Mike Pompeo,Học viện Quân sự Hoa Kỳ,alumni_of,1
Mike Pompeo,Đại học Harvard,alumni_of,1
George M. Dallas,Đại học Princeton,alumni_of,1
William R. King,University of North Carolina at Chapel Hill,alumni_of,1
John C. Breckinridge,Đại học Princeton,alumni_of,1
Stephen A. Douglas,Học viện Canandaigua,alumni_of,1
Thomas A. Hendricks,Hanover College,alumni_of,1
Adlai Stevenson I,Illinois Wesleyan University,alumni_of,1
Adlai Stevenson I,Centre College,alumni_of,1
Thomas R. Marshall,Wabash College,alumni_of,1
Alben W. Barkley,University of Virginia,alumni_of,1
Hubert Humphrey,Đại học Minnesota,alumni_of,1
Henry A. Wallace,Đại học Tiểu bang Iowa,alumni_of,1
JD Vance,Đại học Bang Ohio,alumni_of,1
JD Vance,Đại học Yale,alumni_of,1
Ivanka Trump,Đại học Pennsylvania,alumni_of,1
Tim Walz,Đại học Bang Minnesota,alumni_of,1
Geert Wilders,Đại học mở ở Hà Lan,alumni_of,1
Silvio Berlusconi,Đại học Milano,alumni_of,1
Nigel Farage,Dulwich College,alumni_of,1
Cristina Fernández de Kirchner,Đại học quốc gia La Plata,alumni_of,1
Hugo Chávez,Học viện Quân sự Venezuela,alumni_of,1
Getúlio Vargas,Universidade Federal do Rio Grande do Sul,alumni_of,1
Neil Gorsuch,Đại học Columbia,alumni_of,1
Neil Gorsuch,Đại học Harvard,alumni_of,1
Neil Gorsuch,Đại học Oxford,alumni_of,1
Brett Kavanaugh,Đại học Yale,alumni_of,1
Amy Coney Barrett,Đại học Notre Dame,alumni_of,1
Robert Mueller,Đại học Princeton,alumni_of,1
Robert Mueller,Đại học New York,alumni_of,1
Robert Mueller,Đại học Virginia,alumni_of,1
Kim Jong-un,Đại học Tổng hợp Kim Nhật Thành,alumni_of,1
Kim Jong-un,Đại học Quân sự Kim Nhật Thành,alumni_of,1
Alex Salmond,Đại học St Andrews,alumni_of,1
