src_person,dst_person,relation
Andrés Manuel López Obrador,Enrique Peña Nieto,LINKS_TO
Andrés Manuel López Obrador,Claudia Sheinbaum,LINKS_TO
Andrés Manuel López Obrador,Guadalupe Victoria,LINKS_TO
Andrés Manuel López Obrador,Francisco I. Madero,LINKS_TO
Andrés Manuel López Obrador,Luis Echeverría,LINKS_TO
Andrés Manuel López Obrador,Miguel de la Madrid,LINKS_TO
Andrés Manuel López Obrador,Ernesto Zedillo,LINKS_TO
Andrés Manuel López Obrador,Vicente Fox,LINKS_TO
Andrés Manuel López Obrador,Felipe Calderón,LINKS_TO
Andrew Cuomo,Bill Clinton,LINKS_TO
Andrew Cuomo,Joe Biden,LINKS_TO
Andrew Cuomo,Ned Lamont,LINKS_TO
Andrew Cuomo,Janet Mills,LINKS_TO
Andrew Cuomo,Charlie Baker,LINKS_TO
Andrew Cuomo,Chris Sununu,LINKS_TO
Andrew Cuomo,Phil Murphy,LINKS_TO
Andrew Cuomo,Tom Wolf,LINKS_TO
Andrew Cuomo,Daniel McKee,LINKS_TO
Andrew Cuomo,Phil Scott,LINKS_TO
