src_person,dst_person,relation,count
Pierre Trudeau,Robert Mundell,SHARED_UNI,1
Pierre Trudeau,Romano Prodi,SHARED_UNI,1
Pierre Trudeau,Tharman Shanmugaratnam,SHARED_UNI,2
Robert Mundell,Romano Prodi,SHARED_UNI,1
Robert Mundell,Tharman Shanmugaratnam,SHARED_UNI,1
Romano Prodi,Tharman Shanmugaratnam,SHARED_UNI,1
Alberto Fujimori,Jean-Claude Juncker,SHARED_UNI,1
Alberto Fujimori,Klemens von Metternich,SHARED_UNI,1
Jean-Claude Juncker,Klemens von Metternich,SHARED_UNI,1
Alexandre Millerand,Armand Fallières,SHARED_UNI,1
Alexandre Millerand,Carole Bouquet,SHARED_UNI,1
Alexandre Millerand,Charles-Maurice de Talleyrand-Périgord,SHARED_UNI,1
Alexandre Millerand,Edvard Beneš,SHARED_UNI,1
Alexandre Millerand,François Mitterrand,SHARED_UNI,1
Alexandre Millerand,Gaston Doumergue,SHARED_UNI,1
Alexandre Millerand,Habib Bourguiba,SHARED_UNI,1
Alexandre Millerand,Henri Bergson,SHARED_UNI,1
Alexandre Millerand,Jacques-Louis David,SHARED_UNI,1
Alexandre Millerand,Jean Casimir-Perier,SHARED_UNI,1
Alexandre Millerand,Jean-Luc Godard,SHARED_UNI,1
Alexandre Millerand,John Turner,SHARED_UNI,1
Alexandre Millerand,Michel Debré,SHARED_UNI,1
Alexandre Millerand,Miguel Ángel Asturias,SHARED_UNI,1
Alexandre Millerand,Paul Deschanel,SHARED_UNI,1
Alexandre Millerand,Paul Doumer,SHARED_UNI,1
Alexandre Millerand,Pierre Mendès France,SHARED_UNI,1
Alexandre Millerand,Raymond Poincaré,SHARED_UNI,1
Alexandre Millerand,Saionji Kinmochi,SHARED_UNI,1
Alexandre Millerand,Émile Loubet,SHARED_UNI,1
Armand Fallières,Carole Bouquet,SHARED_UNI,1
Armand Fallières,Charles-Maurice de Talleyrand-Périgord,SHARED_UNI,1
Armand Fallières,Edvard Beneš,SHARED_UNI,1
Armand Fallières,François Mitterrand,SHARED_UNI,1
Armand Fallières,Gaston Doumergue,SHARED_UNI,1
