src_university,dst_university,relation
Đại học California,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Nam Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Quốc gia Seoul,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Phục Đán,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Giao thông Thượng Hải,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Giao thông Tây An,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
